Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6p2_0603_C0G_5%_50V_-40C..125C_Chip-Capacitor","C_0603",21.650000,10.500000,180.000000,top
"C2","6p2_0603_C0G_5%_50V_-40C..125C_Chip-Capacitor","C_0603",21.650000,12.100000,180.000000,top
"C3","100n","C_0603",21.550000,14.600000,90.000000,top
"C4","100n","C_0603",21.200000,7.400000,0.000000,top
"C5","100n","C_0603",21.650000,8.950000,0.000000,top
"C6","10u_0805_X7R_10%_10V_-40C..125C_Chip-Capacitor","C_0805",23.200000,17.750000,180.000000,top
"C7","10u_0805_X7R_10%_10V_-40C..125C_Chip-Capacitor","C_0805",23.550000,14.850000,90.000000,top
"C8","100n_0603_X7R_10%_50V_-40C..125C_Chip-Capacitor","C_0603",29.750000,2.450000,90.000000,top
"C10","100n_0603_X7R_10%_50V_-40C..125C_Chip-Capacitor","C_0603",20.800000,3.500000,90.000000,top
"D1","KPT-1608SGC","LED_Kingbright_0603",15.800000,17.050000,90.000000,top
"D2","KPT-1608SGC","LED_Kingbright_0603",19.000000,17.050000,90.000000,top
"D3","KPT-1608EC","LED_Kingbright_0603",12.600000,17.050000,90.000000,top
"R1","5k1_0603_100mW_1%_E24_Chip-Resistor","R_0603",5.850000,17.200000,0.000000,top
"R2","5k1_0603_100mW_1%_E24_Chip-Resistor","R_0603",8.500000,17.200000,180.000000,top
"R3","1k_0603_100mW_1%_E24_Chip-Resistor","R_0603",14.200000,17.050000,-90.000000,top
"R4","1k_0603_100mW_1%_E24_Chip-Resistor","R_0603",17.400000,17.050000,-90.000000,top
"R5","1k_0603_100mW_1%_E24_Chip-Resistor","R_0603",11.000000,17.050000,-90.000000,top
"R6","10k_0603_100mW_1%_E24_Chip-Resistor","R_0603",16.450000,2.450000,180.000000,top
"U1","STM32G0B1CBT","LQFP-48_7mmx7mm_Pitch0.5mm",14.000000,10.000000,90.000000,top
"U2","MCP1754ST-3302E/MB","SOT-89",28.000000,16.000000,0.000000,top
"U3","TJA1051T3","SOIC-8_3.90mmx4.90mm_Pitch1.27mm",25.200000,3.600000,0.000000,top
"X1","629722000214_pasteInHole","USB4105_pasteInHole",6.105000,10.350000,-90.000000,top
"X2","~","D-SUB-9_side",37.800000,10.000000,-90.000000,top
"X3","TC2030-NL","TC2030-NL",4.000000,2.500000,180.000000,top
"Y1","830055299","Crystal_4Pin_SMD_3.2mmx2.5mm",25.150000,10.850000,-90.000000,top
